"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"4038","Tiger Shark",2022,"Longline",28.5625,-84.5472,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4039","Atlantic Sharpnose Shark",2018,"Longline",25.8298,-83.5465,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4040","Atlantic Sharpnose Shark",2022,"Longline",26.3142,-83.1568,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4041","Dogfish, Smooth (Florida)",2019,"Longline",28.1032,-91.0719,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4042","Dogfish, Smooth (Florida)",2019,"Longline",26.5892,-96.4182,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4043","Atlantic Sharpnose Shark",2020,"Longline",26.1803,-83.1965,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4044","Sandbar Shark",2021,"Longline",28.421,-84.4704,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4045","Dogfish, Spiny (Cuban)",2019,"Longline",27.7315,-92.9015,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4046","Dogfish, Smooth (Florida)",2019,"Longline",28.2161,-90.2739,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4047","Sandbar Shark",2020,"Longline",25.8999,-84.3943,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4048","Dogfish, Spiny (Cuban)",2018,"Longline",28.7763,-85.993,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4049","Nurse Shark",2023,"Longline",25.5934,-82.7182,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4050","Dogfish, Smooth (Florida)",2020,"Longline",26.7403,-96.4857,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4051","Dogfish, Smooth (Florida)",2021,"Longline",26.2086,-84.6009,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4052","Dogfish, Smooth (Florida)",2023,"Longline",26.6313,-96.4396,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4053","Dogfish, Spiny (Cuban)",2020,"Longline",27.7352,-93.8656,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4054","Dogfish, Smooth (Florida)",2019,"Longline",28.1353,-90.5584,"Cut-off at Rail (Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4055","Tiger Shark",2021,"Longline",27.099,-83.2294,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4056","Blacknose Shark",2019,"Longline",26.5672,-83.7984,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4057","Atlantic Sharpnose Shark",2021,"Longline",27.9776,-92.493,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4058","Bull Shark",2022,"Longline",27.2799,-83.3474,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4059","Dusky Shark",2024,"Longline",27.6981,-83.8758,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4060","Dogfish, Smooth (Florida)",2019,"Longline",28.1294,-90.5661,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4061","Dogfish, Spiny (Cuban)",2019,"Longline",27.7588,-95.2862,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4062","Blacknose Shark",2023,"Longline",27.7286,-83.7518,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4063","Tiger Shark",2019,"Longline",25.6253,-83.616,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4064","Tiger Shark",2019,"Longline",26.9275,-83.4906,"Cut-off at Rail (Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"4065","Night Shark",2016,"Longline",26.6148,-84.6984,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4066","Dogfish, Smooth (Florida)",2021,"Longline",27.8707,-93.1993,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"4067","Dogfish, Smooth (Florida)",2020,"Longline",27.3089,-96.3831,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4068","Tiger Shark",2022,"Longline",26.3426,-83.1504,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4069","Sandbar Shark",2017,"Longline",26.9925,-84.0991,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4070","Dogfish, Smooth (Florida)",2019,"Longline",28.1348,-90.5751,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4071","Atlantic Sharpnose Shark",2016,"Longline",25.5933,-83.8527,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4072","Atlantic Sharpnose Shark",2020,"Longline",25.8326,-82.8052,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4073","Shark, Unidentified",2022,"Longline",27.6405,-83.4824,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4074","Dogfish, Spiny (Cuban)",2019,"Longline",27.7172,-93.8671,"Brought on Board (Retained/Discarded)","Live - Healthy","Unknown Fate","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4075","Tiger Shark",2023,"Longline",28.7262,-84.8316,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4076","Blacknose Shark",2020,"Longline",26.91,-83.4369,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4077","Atlantic Sharpnose Shark",2022,"Longline",26.4543,-83.1715,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"4078","Tiger Shark",2023,"Longline",25.6509,-84.2574,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4079","Dogfish, Smooth (Florida)",2023,"Longline",26.1307,-84.4252,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"4080","Dogfish, Smooth (Florida)",2019,"Longline",26.1625,-84.5274,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4081","Silky Shark",2020,"Longline",26.1803,-83.2398,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4082","Sixgill Shark (all)",2020,"Longline",27.8309,-94.114,"Brought on Board (Retained/Discarded)","Dead on Arrival - Damaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4083","Dogfish, Smooth (Florida)",2019,"Longline",28.1997,-90.2798,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4084","Dogfish, Smooth (Florida)",2019,"Longline",28.1851,-90.2084,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4085","Tiger Shark",2023,"Longline",28.8134,-84.7886,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4086","Silky Shark",2016,"Longline",25.5786,-83.8552,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
"4087","Dogfish, Spiny (Cuban)",2020,"Longline",27.7295,-93.6368,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4088","Shark, Unidentified",2016,"Longline",25.1382,-83.8752,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4089","Nurse Shark",2021,"Longline",28.3746,-84.5716,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4090","Dogfish, Smooth (Florida)",2019,"Longline",27.8686,-94.7844,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4091","Silky Shark",2021,"Longline",27.4651,-83.684,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4092","Tiger Shark",2024,"Longline",28.7178,-84.4814,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4093","Dogfish, Spiny (Cuban)",2016,"Longline",27.7837,-84.9944,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4094","Sandbar Shark",2020,"Longline",26.6918,-83.2333,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4095","Dogfish, Smooth (Florida)",2019,"Longline",26.19,-84.5428,"Not Handled (Dropped Off)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4096","Dogfish, Smooth (Florida)",2019,"Longline",26.3239,-84.6802,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4097","Dogfish, Smooth (Florida)",2019,"Longline",28.1836,-90.2436,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4098","Carcharhinid, Unidentified",2022,"Longline",28.446,-84.481,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"4099","Dogfish, Smooth (Florida)",2019,"Longline",28.2263,-90.2692,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4100","Blacknose Shark",2021,"Longline",27.8105,-83.6218,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4101","Atlantic Sharpnose Shark",2016,"Longline",24.7222,-83.1845,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Known Juvenile","Small (Less than 1m)"
"4102","Atlantic Sharpnose Shark",2017,"Longline",25.4744,-82.7502,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4103","Dogfish, Spiny (Cuban)",2022,"Longline",28.8694,-86.3993,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4104","Atlantic Sharpnose Shark",2022,"Longline",27.9473,-83.7157,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4105","Dogfish, Spiny (Cuban)",2021,"Longline",27.8077,-94.2332,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Small (Less than 1m)"
"4106","Blacknose Shark",2017,"Longline",25.0678,-82.9429,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4107","Sandbar Shark",2021,"Longline",28.0252,-83.8871,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4108","Tiger Shark",2017,"Longline",27.6119,-84.0306,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4109","Atlantic Sharpnose Shark",2016,"Longline",25.5994,-83.8496,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4110","Dogfish, Spiny (Cuban)",2022,"Longline",29.0812,-86.0411,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4111","Tiger Shark",2020,"Longline",24.5175,-83.2271,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"4112","Dogfish, Smooth (Florida)",2019,"Longline",28.196,-90.2799,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4113","Nurse Shark",2020,"Longline",26.1542,-83.1898,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4114","Blacknose Shark",2019,"Longline",27.2963,-83.4538,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"4115","Atlantic Sharpnose Shark",2020,"Longline",26.8253,-83.4126,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4116","Sandbar Shark",2016,"Longline",25.5697,-83.8594,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"4117","Dogfish, Smooth (Florida)",2021,"Longline",27.8747,-93.1896,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4118","Dogfish, Spiny (Cuban)",2022,"Longline",29.1763,-85.8964,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4119","Sharpnose Sevengill Shark",2019,"Longline",27.8282,-92.7476,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4120","Dogfish, Smooth (Florida)",2021,"Longline",28.7373,-85.3335,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4121","Blacknose Shark",2023,"Longline",27.4493,-83.6138,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4122","Atlantic Sharpnose Shark",2019,"Longline",28.2234,-90.2687,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Medium (Between 1m and 2m)"
"4123","Sandbar Shark",2022,"Longline",27.5078,-83.4248,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4124","Atlantic Sharpnose Shark",2023,"Longline",27.1115,-83.2573,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"4125","Dogfish, Spiny (Cuban)",2020,"Longline",27.7392,-93.6198,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4126","Atlantic Sharpnose Shark",2020,"Longline",27.18,-96.4454,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4127","Tiger Shark",2019,"Longline",26.5904,-83.2094,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4128","Atlantic Sharpnose Shark",2018,"Longline",26.8666,-83.82,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4129","Dogfish, Smooth (Florida)",2019,"Longline",28.1354,-90.5652,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4130","Dogfish, Spiny (Cuban)",2023,"Longline",28.6585,-85.8373,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4131","Atlantic Sharpnose Shark",2019,"Longline",27.4336,-83.5654,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4132","Sandbar Shark",2020,"Longline",26.6355,-83.1873,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4133","Sandbar Shark",2019,"Longline",26.7199,-96.4876,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4134","Sandbar Shark",2020,"Longline",26.0176,-83.5652,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4135","Shark, Unidentified",2019,"Longline",26.6369,-83.8635,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"4136","Sandbar Shark",2023,"Longline",25.1747,-84.0352,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"4137","Dogfish, Spiny (Cuban)",2018,"Longline",28.7799,-85.994,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4138","Sandbar Shark",2019,"Longline",27.5948,-83.4209,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4139","Atlantic Sharpnose Shark",2020,"Longline",26.1952,-83.2318,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"4140","Atlantic Sharpnose Shark",2022,"Longline",26.3488,-83.0027,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4141","Dogfish, Spiny (Cuban)",2023,"Longline",28.5578,-85.8,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4142","Atlantic Sharpnose Shark",2019,"Longline",28.2157,-90.3101,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4143","Blacknose Shark",2022,"Longline",27.0667,-83.429,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4144","Dogfish, Smooth (Florida)",2017,"Longline",25.1492,-83.8194,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"4145","Sandbar Shark",2021,"Longline",27.1005,-83.538,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"4146","Dogfish, Spiny (Cuban)",2023,"Longline",27.8203,-92.3008,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4147","Atlantic Sharpnose Shark",2016,"Longline",25.5999,-83.8493,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4148","Dogfish, Smooth (Florida)",2024,"Longline",26.3929,-84.1516,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4149","Blacknose Shark",2017,"Longline",25.6672,-82.8347,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4150","Tiger Shark",2019,"Longline",28.1027,-90.5583,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4151","Dogfish, Spiny (Cuban)",2019,"Longline",27.8509,-92.7524,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4152","Nurse Shark",2019,"Longline",28.1301,-84.4107,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Damaged (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4153","Dogfish, Spiny (Cuban)",2019,"Longline",27.6572,-93.0344,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4154","Dogfish, Smooth (Florida)",2019,"Longline",28.2195,-90.3338,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4155","Sandbar Shark",2023,"Longline",26.6435,-96.4396,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4156","Atlantic Sharpnose Shark",2022,"Longline",26.358,-83.1199,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Small (Less than 1m)"
"4157","Blacknose Shark",2020,"Longline",27.9017,-83.6714,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4158","Blacknose Shark",2019,"Longline",28.1357,-90.5652,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"4159","Dogfish, Spiny (Cuban)",2020,"Longline",27.6127,-93.246,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4160","Dogfish, Smooth (Florida)",2020,"Longline",27.2646,-96.3014,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"4161","Sandbar Shark",2018,"Longline",24.6117,-83.3766,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4162","Shark, Unidentified",2022,"Longline",27.4689,-96.1167,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4163","Sandbar Shark",2019,"Longline",25.5403,-84.2159,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4164","Atlantic Sharpnose Shark",2019,"Longline",28.2241,-90.2438,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4165","Nurse Shark",2023,"Longline",25.6083,-82.7225,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"4166","Scalloped Hammerhead",2022,"Longline",27.4315,-96.1838,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"4167","Dogfish, Smooth (Florida)",2019,"Longline",28.8104,-85.4641,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"4168","Atlantic Sharpnose Shark",2016,"Longline",25.5947,-83.8521,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
