"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"2762","Scalloped Hammerhead",2020,"Longline",28.0038,-92.5716,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2763","Blacknose Shark",2023,"Longline",27.599,-83.425,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2764","Blacknose Shark",2023,"Longline",27.4683,-83.58,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2765","Dogfish, Smooth (Florida)",2019,"Longline",28.1911,-90.2437,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2766","Carcharhinid, Unidentified",2023,"Longline",25.5693,-82.7258,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"2767","Sixgill Shark (all)",2022,"Longline",29.1508,-85.895,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2768","Dogfish, Spiny (Cuban)",2021,"Longline",27.6707,-93.4262,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2769","Night Shark",2023,"Longline",28.5401,-85.7915,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"2770","Dogfish, Spiny (Cuban)",2018,"Longline",28.7902,-86.0093,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2771","Tiger Shark",2021,"Longline",26.7748,-83.1205,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"2772","Blacknose Shark",2022,"Longline",26.445,-83.1845,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2773","Sandbar Shark",2018,"Longline",25.961,-84.552,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Large (Greater than 2m)"
"2774","Tiger Shark",2023,"Longline",25.6448,-82.892,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"2775","Dogfish, Spiny (Cuban)",2018,"Longline",28.8346,-85.9441,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2776","Dogfish, Spiny (Cuban)",2023,"Longline",27.8372,-94.0814,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2777","Sandbar Shark",2021,"Longline",27.4884,-84.143,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"2778","Sandbar Shark",2019,"Longline",26.3703,-83.0778,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"2779","Dogfish, Smooth (Florida)",2023,"Longline",27.3569,-96.2352,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2780","Dogfish, Smooth (Florida)",2022,"Longline",27.3084,-96.2738,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2781","Atlantic Sharpnose Shark",2019,"Longline",27.4027,-83.5004,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"2782","Sandbar Shark",2018,"Longline",24.9135,-83.604,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"2783","Dogfish, Smooth (Florida)",2020,"Longline",27.2355,-96.3579,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2784","Sandbar Shark",2020,"Longline",26.6295,-83.1369,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2785","Dogfish, Smooth (Florida)",2022,"Longline",27.3284,-96.2862,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"2786","Nurse Shark",2019,"Longline",26.9372,-83.3991,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"2787","Blacknose Shark",2019,"Longline",27.1429,-83.2336,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2788","Dogfish, Spiny (Cuban)",2024,"Longline",27.5118,-95.9817,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2789","Dogfish, Smooth (Florida)",2019,"Longline",28.2196,-90.2396,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2790","Bull Shark",2023,"Longline",25.6022,-82.7307,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"2791","Dogfish, Spiny (Cuban)",2023,"Longline",27.7251,-93.9906,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2792","Blacknose Shark",2023,"Longline",28.1023,-83.7526,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2793","Tiger Shark",2024,"Longline",27.8127,-83.813,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"2794","Night Shark",2019,"Longline",26.18,-84.4483,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2795","Dogfish, Smooth (Florida)",2019,"Longline",29.1823,-85.8518,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"2796","Dogfish, Smooth (Florida)",2019,"Longline",28.1669,-90.4929,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Small (Less than 1m)"
"2797","Nurse Shark",2023,"Longline",26.1163,-83.7223,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
